disease,state,year,weeks_reporting,count,population
Hepatitis A,Alaska,1989,33,494,536903
Hepatitis A,Alaska,1990,39,167,550043
Hepatitis A,Alaska,1991,37,80,561769
Hepatitis A,Alaska,1992,32,65,572122
Hepatitis A,Alaska,1993,24,374,581250
Hepatitis A,Alaska,1994,29,163,589317
Hepatitis A,Alaska,1995,39,38,596513
Hepatitis A,Alaska,1996,41,46,603039
Hepatitis A,Alaska,1997,24,20,609112
Hepatitis A,Alaska,1998,30,6,614959
Hepatitis A,Alaska,1999,36,7,620817
Hepatitis A,Alaska,2000,39,8,626932
Hepatitis A,Alaska,2001,40,10,633510
Hepatitis A,Alaska,2002,42,11,640570
Hepatitis A,Alaska,2003,44,8,648078
Hepatitis A,Alaska,2004,43,4,656003
Hepatitis A,Alaska,2005,44,3,664309
Hepatitis A,Alaska,2006,0,0,672961
Hepatitis A,Alaska,2007,42,3,681920
Hepatitis A,Alaska,2008,41,3,691147
Hepatitis A,Alaska,2009,46,6,700599
Hepatitis A,Alaska,2010,24,4,710231
Hepatitis A,Alaska,2011,38,1,720004
Hepatitis A,Arizona,1966,50,415,1572291
Hepatitis A,Arizona,1967,48,390,1615310
Hepatitis A,Arizona,1968,50,425,1661517
Hepatitis A,Arizona,1969,49,528,1712707
Hepatitis A,Arizona,1970,50,615,1770900
Hepatitis A,Arizona,1971,51,896,1837891
Hepatitis A,Arizona,1972,46,660,1913632
Hepatitis A,Arizona,1973,22,160,1997501
Hepatitis A,Arizona,1974,49,512,2088732
Hepatitis A,Arizona,1975,50,437,2186365
Hepatitis A,Arizona,1976,51,560,2289201
Hepatitis A,Arizona,1977,51,929,2395761
Hepatitis A,Arizona,1978,48,1137,2504256
Hepatitis A,Arizona,1979,50,1788,2612561
Hepatitis A,Arizona,1980,33,635,2718215
Hepatitis A,Arizona,1981,43,434,2819039
Hepatitis A,Arizona,1982,41,514,2915148
Hepatitis A,Arizona,1983,44,845,3007444
Hepatitis A,Arizona,1984,46,721,3097045
Hepatitis A,Arizona,1985,42,1013,3185267
Hepatitis A,Arizona,1986,37,1015,3273618
Hepatitis A,Arizona,1987,47,1925,3363792
Hepatitis A,Arizona,1988,23,972,3457679
Hepatitis A,Arizona,1989,33,2009,3557380
Hepatitis A,Arizona,1990,42,1645,3665228
Hepatitis A,Arizona,1991,37,837,3783229
Hepatitis A,Arizona,1992,35,761,3911122
Hepatitis A,Arizona,1993,26,662,4047937
Hepatitis A,Arizona,1994,29,934,4192532
Hepatitis A,Arizona,1995,40,990,4343559
Hepatitis A,Arizona,1996,43,1397,4499438
Hepatitis A,Arizona,1997,27,1078,4658333
Hepatitis A,Arizona,1998,35,1224,4818136
Hepatitis A,Arizona,1999,36,601,4976457
Hepatitis A,Arizona,2000,41,399,5130632
Hepatitis A,Arizona,2001,40,341,5278300
Hepatitis A,Arizona,2002,46,313,5419266
Hepatitis A,Arizona,2003,44,237,5554021
Hepatitis A,Arizona,2004,44,210,5683195
Hepatitis A,Arizona,2005,47,240,5807553
Hepatitis A,Arizona,2006,44,69,5927979
Hepatitis A,Arizona,2007,51,163,6045475
Hepatitis A,Arizona,2008,47,101,6161152
Hepatitis A,Arizona,2009,48,72,6276227
Hepatitis A,Arizona,2010,48,72,6392017
Hepatitis A,Arizona,2011,48,19,6509700
Hepatitis A,Arkansas,1966,52,299,1826028
Hepatitis A,Arkansas,1967,47,295,1844745
Hepatitis A,Arkansas,1968,38,166,1867112
Hepatitis A,Arkansas,1969,34,189,1893248
Hepatitis A,Arkansas,1970,42,212,1923295
Hepatitis A,Arkansas,1971,46,236,1957252
Hepatitis A,Arkansas,1972,46,278,1994452
Hepatitis A,Arkansas,1973,44,141,2034009
Hepatitis A,Arkansas,1974,49,444,2074967
Hepatitis A,Arkansas,1975,49,409,2116289
Hepatitis A,Arkansas,1976,50,449,2156856
Hepatitis A,Arkansas,1977,47,406,2195463
Hepatitis A,Arkansas,1978,46,204,2230829
Hepatitis A,Arkansas,1979,50,260,2261613
Hepatitis A,Arkansas,1980,36,240,2286435
Hepatitis A,Arkansas,1981,48,215,2304331
Hepatitis A,Arkansas,1982,30,74,2316088
Hepatitis A,Arkansas,1983,32,57,2322996
Hepatitis A,Arkansas,1984,30,98,2326399
Hepatitis A,Arkansas,1985,19,46,2327671
Hepatitis A,Arkansas,1986,29,87,2328197
Hepatitis A,Arkansas,1987,31,191,2329366
Hepatitis A,Arkansas,1988,22,135,2332569
Hepatitis A,Arkansas,1989,32,167,2339212
Hepatitis A,Arkansas,1990,41,420,2350725
Hepatitis A,Arkansas,1991,38,163,2368201
Hepatitis A,Arkansas,1992,35,83,2391223
Hepatitis A,Arkansas,1993,27,29,2418991
Hepatitis A,Arkansas,1994,27,85,2450696
Hepatitis A,Arkansas,1995,35,425,2485501
Hepatitis A,Arkansas,1996,43,446,2522529
Hepatitis A,Arkansas,1997,26,88,2560848
Hepatitis A,Arkansas,1998,34,63,2599475
Hepatitis A,Arkansas,1999,36,62,2637361
Hepatitis A,Arkansas,2000,41,95,2673400
Hepatitis A,Arkansas,2001,41,58,2706668
Hepatitis A,Arkansas,2002,47,50,2737163
Hepatitis A,Arkansas,2003,36,17,2765142
Hepatitis A,Arkansas,2004,46,52,2790880
Hepatitis A,Arkansas,2005,44,17,2814674
Hepatitis A,Arkansas,2006,41,23,2836837
Hepatitis A,Arkansas,2007,44,11,2857696
Hepatitis A,Arkansas,2008,36,4,2877593
Hepatitis A,Arkansas,2009,44,5,2896879
Hepatitis A,Arkansas,2010,8,0,2915918
Hepatitis A,Arkansas,2011,3,0,2935019
Hepatitis A,California,1966,52,5933,18429575
Hepatitis A,California,1967,52,7480,18831882
Hepatitis A,California,1968,52,10821,19219725
Hepatitis A,California,1969,50,9051,19593348
Hepatitis A,California,1970,50,9422,19953134
Hepatitis A,California,1971,51,9623,20300216
Hepatitis A,California,1972,47,7190,20638390
Hepatitis A,California,1973,49,6875,20972407
Hepatitis A,California,1974,48,5547,21307362
Hepatitis A,California,1975,51,5134,21648695
Hepatitis A,California,1976,51,5590,22002198
Hepatitis A,California,1977,44,4741,22374038
Hepatitis A,California,1978,45,4301,22770801
Hepatitis A,California,1979,44,4101,23199549
Hepatitis A,California,1980,33,3673,23667902
Hepatitis A,California,1981,44,5147,24181703
Hepatitis A,California,1982,44,3726,24737390
Hepatitis A,California,1983,42,3922,25328529
Hepatitis A,California,1984,43,6021,25948031
Hepatitis A,California,1985,39,5371,26588046
Hepatitis A,California,1986,39,5802,27239883
Hepatitis A,California,1987,45,5956,27893955
Hepatitis A,California,1988,23,2717,28539754
Hepatitis A,California,1989,34,4692,29165865
Hepatitis A,California,1990,42,4870,29760021
Hepatitis A,California,1991,36,3791,30311890
Hepatitis A,California,1992,36,3594,30821629
Hepatitis A,California,1993,26,2674,31292538
Hepatitis A,California,1994,27,3367,31728420
Hepatitis A,California,1995,41,5130,32133526
Hepatitis A,California,1996,45,5547,32512506
Hepatitis A,California,1997,28,4438,32870358
Hepatitis A,California,1998,35,2803,33212395
Hepatitis A,California,1999,38,2349,33544208
Hepatitis A,California,2000,39,2261,33871648
Hepatitis A,California,2001,40,1599,34199784
Hepatitis A,California,2002,49,1364,34529758
Hepatitis A,California,2003,46,1045,34861711
Hepatitis A,California,2004,48,788,35195792
Hepatitis A,California,2005,49,905,35532154
Hepatitis A,California,2006,52,688,35870957
Hepatitis A,California,2007,51,312,36212364
Hepatitis A,California,2008,52,337,36556548
Hepatitis A,California,2009,52,239,36903684
Hepatitis A,California,2010,49,201,37253956
Hepatitis A,California,2011,49,176,37607525
Hepatitis A,Colorado,1966,48,292,2008407
Hepatitis A,Colorado,1967,43,294,2053164
Hepatitis A,Colorado,1968,43,715,2100603
Hepatitis A,Colorado,1969,43,587,2151635
Hepatitis A,Colorado,1970,41,915,2207259
Hepatitis A,Colorado,1971,47,751,2268242
Hepatitis A,Colorado,1972,44,639,2334054
Hepatitis A,Colorado,1973,48,495,2403738
Hepatitis A,Colorado,1974,38,256,2476210
Hepatitis A,Colorado,1975,46,239,2550245
Hepatitis A,Colorado,1976,51,426,2624457
Hepatitis A,Colorado,1977,51,509,2697303
Hepatitis A,Colorado,1978,49,446,2767084
Hepatitis A,Colorado,1979,51,482,2831958
Hepatitis A,Colorado,1980,38,591,2889964
Hepatitis A,Colorado,1981,48,536,2939663
Hepatitis A,Colorado,1982,49,331,2982055
Hepatitis A,Colorado,1983,50,394,3018900
Hepatitis A,Colorado,1984,48,544,3052100
Hepatitis A,Colorado,1985,43,299,3083671
Hepatitis A,Colorado,1986,36,151,3115721
Hepatitis A,Colorado,1987,50,424,3150449
Hepatitis A,Colorado,1988,23,117,3190156
Hepatitis A,Colorado,1989,34,368,3237270
Hepatitis A,Colorado,1990,39,278,3294394
Hepatitis A,Colorado,1991,37,494,3363642
Hepatitis A,Colorado,1992,36,587,3444391
Hepatitis A,Colorado,1993,26,436,3535251
Hepatitis A,Colorado,1994,29,403,3634710
Hepatitis A,Colorado,1995,41,393,3741086
Hepatitis A,Colorado,1996,42,362,3852482
Hepatitis A,Colorado,1997,27,234,3966754
Hepatitis A,Colorado,1998,35,261,4081485
Hepatitis A,Colorado,1999,38,147,4193978
Hepatitis A,Colorado,2000,41,170,4301261
Hepatitis A,Colorado,2001,41,76,4400742
Hepatitis A,Colorado,2002,47,77,4492257
Hepatitis A,Colorado,2003,45,60,4576377
Hepatitis A,Colorado,2004,43,56,4653801
Hepatitis A,Colorado,2005,49,49,4725338
Hepatitis A,Colorado,2006,49,24,4791892
Hepatitis A,Colorado,2007,48,25,4854455
Hepatitis A,Colorado,2008,44,23,4914094
Hepatitis A,Colorado,2009,50,49,4971943
Hepatitis A,Colorado,2010,50,34,5029196
Hepatitis A,Colorado,2011,51,18,5086894
Hepatitis A,Connecticut,1966,52,334,2874698
Hepatitis A,Connecticut,1967,52,583,2922078
Hepatitis A,Connecticut,1968,52,502,2964628
Hepatitis A,Connecticut,1969,50,617,3001466
Hepatitis A,Connecticut,1970,51,860,3031709
Hepatitis A,Connecticut,1971,51,877,3054792
Hepatitis A,Connecticut,1972,47,687,3071418
Hepatitis A,Connecticut,1973,51,661,3082659
Hepatitis A,Connecticut,1974,49,526,3089639
Hepatitis A,Connecticut,1975,51,417,3093513
Hepatitis A,Connecticut,1976,50,427,3095453
Hepatitis A,Connecticut,1977,49,274,3096643
Hepatitis A,Connecticut,1978,45,165,3098267
Hepatitis A,Connecticut,1979,45,167,3101513
Hepatitis A,Connecticut,1980,31,110,3107576
Hepatitis A,Connecticut,1981,42,129,3117363
Hepatitis A,Connecticut,1982,36,82,3130581
Hepatitis A,Connecticut,1983,40,88,3146641
Hepatitis A,Connecticut,1984,36,74,3164947
Hepatitis A,Connecticut,1985,29,118,3184895
Hepatitis A,Connecticut,1986,35,124,3205868
Hepatitis A,Connecticut,1987,39,172,3227234
Hepatitis A,Connecticut,1988,21,141,3248344
Hepatitis A,Connecticut,1989,32,207,3268532
Hepatitis A,Connecticut,1990,40,107,3287116
Hepatitis A,Connecticut,1991,34,74,3303573
Hepatitis A,Connecticut,1992,32,49,3318064
Hepatitis A,Connecticut,1993,27,59,3330930
Hepatitis A,Connecticut,1994,25,60,3342519
Hepatitis A,Connecticut,1995,39,69,3353188
Hepatitis A,Connecticut,1996,44,123,3363299
Hepatitis A,Connecticut,1997,26,71,3373219
Hepatitis A,Connecticut,1998,34,63,3383318
Hepatitis A,Connecticut,1999,37,57,3393974
Hepatitis A,Connecticut,2000,39,135,3405565
Hepatitis A,Connecticut,2001,40,206,3418395
Hepatitis A,Connecticut,2002,47,87,3432433
Hepatitis A,Connecticut,2003,42,81,3447563
Hepatitis A,Connecticut,2004,45,68,3463671
Hepatitis A,Connecticut,2005,51,49,3480637
Hepatitis A,Connecticut,2006,51,42,3498344
Hepatitis A,Connecticut,2007,46,25,3516668
Hepatitis A,Connecticut,2008,51,24,3535486
Hepatitis A,Connecticut,2009,48,18,3554673
Hepatitis A,Connecticut,2010,50,24,3574097
Hepatitis A,Connecticut,2011,47,16,3593650
Hepatitis A,Delaware,1966,36,79,516402
Hepatitis A,Delaware,1967,44,173,525460
Hepatitis A,Delaware,1968,43,146,533755
Hepatitis A,Delaware,1969,30,67,541297
Hepatitis A,Delaware,1970,43,135,548104
Hepatitis A,Delaware,1971,46,138,554209
Hepatitis A,Delaware,1972,39,131,559693
Hepatitis A,Delaware,1973,39,97,564659
Hepatitis A,Delaware,1974,22,32,569211
Hepatitis A,Delaware,1975,23,50,573460
Hepatitis A,Delaware,1976,26,47,577523
Hepatitis A,Delaware,1977,25,43,581518
Hepatitis A,Delaware,1978,21,40,585568
Hepatitis A,Delaware,1979,15,27,589798
Hepatitis A,Delaware,1980,17,34,594338
Hepatitis A,Delaware,1981,34,56,599301
Hepatitis A,Delaware,1982,31,46,604720
Hepatitis A,Delaware,1983,28,32,610606
Hepatitis A,Delaware,1984,23,44,616972
Hepatitis A,Delaware,1985,23,38,623834
Hepatitis A,Delaware,1986,33,62,631207
Hepatitis A,Delaware,1987,17,38,639107
Hepatitis A,Delaware,1988,21,26,647554
Hepatitis A,Delaware,1989,34,60,656568
Hepatitis A,Delaware,1990,42,89,666168
Hepatitis A,Delaware,1991,37,12,676364
Hepatitis A,Delaware,1992,31,35,687107
Hepatitis A,Delaware,1993,27,6,698329
Hepatitis A,Delaware,1994,27,12,709960
Hepatitis A,Delaware,1995,39,8,721921
Hepatitis A,Delaware,1996,43,17,734132
Hepatitis A,Delaware,1997,25,13,746502
Hepatitis A,Delaware,1998,25,4,758939
Hepatitis A,Delaware,1999,30,1,771341
Hepatitis A,Delaware,2000,0,0,783600
Hepatitis A,Delaware,2001,1,0,795628
Hepatitis A,Delaware,2002,41,11,807429
Hepatitis A,Delaware,2003,42,7,819034
Hepatitis A,Delaware,2004,42,7,830477
Hepatitis A,Delaware,2005,31,4,841794
Hepatitis A,Delaware,2006,48,11,853024
Hepatitis A,Delaware,2007,34,6,864207
Hepatitis A,Delaware,2008,39,6,875389
Hepatitis A,Delaware,2009,37,3,886615
Hepatitis A,Delaware,2010,47,7,897934
Hepatitis A,Delaware,2011,49,1,909389
Hepatitis A,District Of Columbia,1966,25,38,767479
Hepatitis A,District Of Columbia,1967,29,42,767400
Hepatitis A,District Of Columbia,1968,36,67,765853
Hepatitis A,District Of Columbia,1969,28,58,762372
Hepatitis A,District Of Columbia,1970,37,87,756510
Hepatitis A,District Of Columbia,1971,31,60,748020
Hepatitis A,District Of Columbia,1972,38,95,737335
Hepatitis A,District Of Columbia,1973,32,67,725053
Hepatitis A,District Of Columbia,1974,21,42,711746
Hepatitis A,District Of Columbia,1975,35,90,697960
Hepatitis A,District Of Columbia,1976,30,101,684201
Hepatitis A,District Of Columbia,1977,18,34,670939
Hepatitis A,District Of Columbia,1978,18,30,658610
Hepatitis A,District Of Columbia,1979,21,33,647615
Hepatitis A,District Of Columbia,1980,17,36,638333
Hepatitis A,District Of Columbia,1981,22,31,631010
Hepatitis A,District Of Columbia,1982,17,23,625419
Hepatitis A,District Of Columbia,1983,10,12,621237
Hepatitis A,District Of Columbia,1984,8,11,618158
Hepatitis A,District Of Columbia,1985,8,10,615889
Hepatitis A,District Of Columbia,1986,11,14,614147
Hepatitis A,District Of Columbia,1987,26,38,612651
Hepatitis A,District Of Columbia,1988,21,9,611127
Hepatitis A,District Of Columbia,1989,24,9,609299
Hepatitis A,District Of Columbia,1990,42,10,606900
Hepatitis A,District Of Columbia,1991,37,64,603744
Hepatitis A,District Of Columbia,1992,35,12,599967
Hepatitis A,District Of Columbia,1993,26,8,595785
Hepatitis A,District Of Columbia,1994,29,23,591406
Hepatitis A,District Of Columbia,1995,38,14,587034
Hepatitis A,District Of Columbia,1996,41,30,582869
Hepatitis A,District Of Columbia,1997,26,16,579101
Hepatitis A,District Of Columbia,1998,34,46,575921
Hepatitis A,District Of Columbia,1999,38,49,573512
Hepatitis A,District Of Columbia,2000,31,32,572059
Hepatitis A,District Of Columbia,2001,42,52,571698
Hepatitis A,District Of Columbia,2002,48,73,572365
Hepatitis A,District Of Columbia,2003,38,39,573947
Hepatitis A,District Of Columbia,2004,44,5,576339
Hepatitis A,District Of Columbia,2005,40,5,579433
Hepatitis A,District Of Columbia,2006,50,8,583125
Hepatitis A,District Of Columbia,2007,48,14,587310
Hepatitis A,District Of Columbia,2008,0,0,591879
Hepatitis A,District Of Columbia,2009,0,0,596721
Hepatitis A,District Of Columbia,2010,31,0,601723
Hepatitis A,District Of Columbia,2011,0,0,606787
Hepatitis A,Florida,1966,51,649,6076182
Hepatitis A,Florida,1967,52,646,6241386
Hepatitis A,Florida,1968,51,1116,6411565
Hepatitis A,Florida,1969,49,1356,6592214
Hepatitis A,Florida,1970,50,1804,6789443
Hepatitis A,Florida,1971,50,2121,7008662
Hepatitis A,Florida,1972,46,2193,7250063
Hepatitis A,Florida,1973,49,3296,7512296
Hepatitis A,Florida,1974,49,3439,7793754
Hepatitis A,Florida,1975,50,2279,8092494
Hepatitis A,Florida,1976,50,1712,8406176
Hepatitis A,Florida,1977,51,1412,8732000
Hepatitis A,Florida,1978,49,1574,9066647
Hepatitis A,Florida,1979,50,1268,9406243
Hepatitis A,Florida,1980,37,1344,9746324
Hepatitis A,Florida,1981,48,1229,10082727
Hepatitis A,Florida,1982,49,967,10414526
Hepatitis A,Florida,1983,50,902,10741769
Hepatitis A,Florida,1984,48,678,11064644
Hepatitis A,Florida,1985,43,775,11383474
Hepatitis A,Florida,1986,39,881,11698722
Hepatitis A,Florida,1987,50,550,12010988
Hepatitis A,Florida,1988,22,280,12321008
Hepatitis A,Florida,1989,33,725,12629652
Hepatitis A,Florida,1990,42,476,12937926
Hepatitis A,Florida,1991,37,587,13246692
Hepatitis A,Florida,1992,35,372,13555784
Hepatitis A,Florida,1993,26,331,13864752
Hepatitis A,Florida,1994,28,516,14173127
Hepatitis A,Florida,1995,40,519,14480420
Hepatitis A,Florida,1996,44,552,14786125
Hepatitis A,Florida,1997,26,417,15089720
Hepatitis A,Florida,1998,34,358,15390666
Hepatitis A,Florida,1999,38,578,15688408
Hepatitis A,Florida,2000,39,631,15982378
Hepatitis A,Florida,2001,39,762,16272186
Hepatitis A,Florida,2002,46,1002,16558219
Hepatitis A,Florida,2003,46,374,16841116
Hepatitis A,Florida,2004,49,282,17121583
Hepatitis A,Florida,2005,51,288,17400396
Hepatitis A,Florida,2006,52,217,17678393
Hepatitis A,Florida,2007,52,159,17956480
Hepatitis A,Florida,2008,51,153,18235627
Hepatitis A,Florida,2009,52,176,18516869
Hepatitis A,Florida,2010,51,152,18801310
Hepatitis A,Florida,2011,51,96,19089928
Hepatitis A,Georgia,1966,47,509,4306523
Hepatitis A,Georgia,1967,51,922,4373252
Hepatitis A,Georgia,1968,50,990,4442463
Hepatitis A,Georgia,1969,48,750,4514462
Hepatitis A,Georgia,1970,51,763,4589575
Hepatitis A,Georgia,1971,50,771,4668031
Hepatitis A,Georgia,1972,47,712,4749598
Hepatitis A,Georgia,1973,50,888,4833908
Hepatitis A,Georgia,1974,48,1005,4920562
Hepatitis A,Georgia,1975,48,1048,5009127
Hepatitis A,Georgia,1976,51,1368,5099141
Hepatitis A,Georgia,1977,47,1073,5190101
Hepatitis A,Georgia,1978,43,528,5281471
Hepatitis A,Georgia,1979,42,589,5372677
Hepatitis A,Georgia,1980,38,597,5463105
Hepatitis A,Georgia,1981,48,498,5552381
Hepatitis A,Georgia,1982,46,342,5641222
Hepatitis A,Georgia,1983,46,231,5730681
Hepatitis A,Georgia,1984,44,170,5821879
Hepatitis A,Georgia,1985,40,176,5916008
Hepatitis A,Georgia,1986,38,144,6014339
Hepatitis A,Georgia,1987,44,161,6118223
Hepatitis A,Georgia,1988,22,281,6229107
Hepatitis A,Georgia,1989,33,283,6348546
Hepatitis A,Georgia,1990,41,298,6478216
Hepatitis A,Georgia,1991,36,171,6619421
Hepatitis A,Georgia,1992,34,136,6771458
Hepatitis A,Georgia,1993,27,37,6933012
Hepatitis A,Georgia,1994,29,48,7102632
Hepatitis A,Georgia,1995,34,56,7278710
Hepatitis A,Georgia,1996,33,148,7459456
Hepatitis A,Georgia,1997,25,403,7642891
Hepatitis A,Georgia,1998,35,546,7826830
Hepatitis A,Georgia,1999,37,346,8008882
Hepatitis A,Georgia,2000,36,208,8186453
Hepatitis A,Georgia,2001,36,723,8357323
Hepatitis A,Georgia,2002,49,434,8521472
Hepatitis A,Georgia,2003,47,800,8679534
Hepatitis A,Georgia,2004,47,314,8832236
Hepatitis A,Georgia,2005,46,108,8980398
Hepatitis A,Georgia,2006,49,56,9124929
Hepatitis A,Georgia,2007,49,48,9266815
Hepatitis A,Georgia,2008,50,38,9407124
Hepatitis A,Georgia,2009,52,43,9546998
Hepatitis A,Georgia,2010,50,32,9687653
Hepatitis A,Georgia,2011,52,40,9830160
Hepatitis A,Hawaii,1966,27,56,707223
Hepatitis A,Hawaii,1967,22,45,721381
Hepatitis A,Hawaii,1968,33,122,736258
Hepatitis A,Hawaii,1969,40,115,751950
Hepatitis A,Hawaii,1970,44,237,768561
Hepatitis A,Hawaii,1971,46,336,786163
Hepatitis A,Hawaii,1972,46,316,804667
Hepatitis A,Hawaii,1973,46,196,823931
Hepatitis A,Hawaii,1974,42,130,843799
Hepatitis A,Hawaii,1975,39,240,864098
Hepatitis A,Hawaii,1976,41,126,884635
Hepatitis A,Hawaii,1977,39,137,905202
Hepatitis A,Hawaii,1978,43,153,925568
Hepatitis A,Hawaii,1979,44,135,945486
Hepatitis A,Hawaii,1980,25,69,964691
Hepatitis A,Hawaii,1981,32,111,982951
Hepatitis A,Hawaii,1982,32,76,1000236
Hepatitis A,Hawaii,1983,22,48,1016571
Hepatitis A,Hawaii,1984,18,32,1031992
Hepatitis A,Hawaii,1985,22,43,1046542
Hepatitis A,Hawaii,1986,11,15,1060271
Hepatitis A,Hawaii,1987,16,37,1073239
Hepatitis A,Hawaii,1988,16,2,1085507
Hepatitis A,Hawaii,1989,31,72,1097145
Hepatitis A,Hawaii,1990,41,51,1108229
Hepatitis A,Hawaii,1991,38,58,1118841
Hepatitis A,Hawaii,1992,36,136,1129082
Hepatitis A,Hawaii,1993,25,27,1139060
Hepatitis A,Hawaii,1994,28,41,1148887
Hepatitis A,Hawaii,1995,41,120,1158681
Hepatitis A,Hawaii,1996,42,84,1168563
Hepatitis A,Hawaii,1997,25,58,1178657
Hepatitis A,Hawaii,1998,33,30,1189094
Hepatitis A,Hawaii,1999,36,20,1200007
Hepatitis A,Hawaii,2000,17,4,1211537
Hepatitis A,Hawaii,2001,20,2,1223795
Hepatitis A,Hawaii,2002,29,1,1236769
Hepatitis A,Hawaii,2003,38,10,1250411
Hepatitis A,Hawaii,2004,44,27,1264675
Hepatitis A,Hawaii,2005,46,23,1279509
Hepatitis A,Hawaii,2006,47,10,1294861
Hepatitis A,Hawaii,2007,40,4,1310676
Hepatitis A,Hawaii,2008,41,15,1326896
Hepatitis A,Hawaii,2009,48,5,1343459
Hepatitis A,Hawaii,2010,24,3,1360301
Hepatitis A,Hawaii,2011,43,7,1377367
Hepatitis A,Idaho,1966,43,180,680474
Hepatitis A,Idaho,1967,38,133,684778
Hepatitis A,Idaho,1968,40,129,691149
Hepatitis A,Idaho,1969,36,79,700191
Hepatitis A,Idaho,1970,43,168,712567
Hepatitis A,Idaho,1971,50,353,728790
Hepatitis A,Idaho,1972,46,348,748519
Hepatitis A,Idaho,1973,46,211,771163
Hepatitis A,Idaho,1974,44,123,796069
Hepatitis A,Idaho,1975,37,171,822501
Hepatitis A,Idaho,1976,38,129,849614
Hepatitis A,Idaho,1977,40,138,876447
Hepatitis A,Idaho,1978,46,221,901920
Hepatitis A,Idaho,1979,41,131,924841
Hepatitis A,Idaho,1980,26,83,943935
Hepatitis A,Idaho,1981,44,245,958227
Hepatitis A,Idaho,1982,29,55,968160
Hepatitis A,Idaho,1983,36,101,974620
Hepatitis A,Idaho,1984,31,85,978566
Hepatitis A,Idaho,1985,38,204,980999
Hepatitis A,Idaho,1986,31,120,982943
Hepatitis A,Idaho,1987,49,335,985431
Hepatitis A,Idaho,1988,23,58,989509
Hepatitis A,Idaho,1989,34,110,996243
Hepatitis A,Idaho,1990,41,75,1006749
Hepatitis A,Idaho,1991,37,75,1021923
Hepatitis A,Idaho,1992,34,67,1041563
Hepatitis A,Idaho,1993,26,137,1065187
Hepatitis A,Idaho,1994,28,255,1092302
Hepatitis A,Idaho,1995,41,296,1122377
